Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,treatment,uniqueID
5,orange,Ferris,10.842,,,2017-10-06,2017-09-26,5,Haw,6262,17:46:23,0.1986244,10.101,,9:58:41,9.63E-02,,,,
6,orange,Ferris,8.918,,,2017-10-06,2017-09-26,5,Haw,6262,17:48:07,1.979346,8.062,,9:59:57,1.351638,,,,
7,orange,Ferris,8.861,,,2017-10-06,2017-09-26,5,Haw,6262,17:50:02,0.155113,8.31,,10:01:26,0.1016253,,7 double markers,,
8,orange,Ferris,10.849,,,2017-10-06,2017-09-26,5,Haw,6262,17:51:40,0.259176,10.154,,10:02:50,0.1091416,,,,
9,orange,Ferris,6.024,,,2017-10-06,2017-09-26,5,Haw,6262,17:53:39,0.7918683,,,,,,lost,,
10,orange,Ferris,4.421,,,2017-10-06,2017-09-26,5,Haw,6262,17:55:19,0.3353144,3.881,,10:06:18,0.1265232,,,,
11,orange,Ferris,4.582,,,2017-10-06,2017-09-26,5,Haw,6262,17:57:55,1.348256,3.714,,10:07:48,1.007295,,,,
12,orange,Ferris,7.039,,,2017-10-06,2017-09-26,5,Haw,6262,18:02:54,1.266232,5.952,,10:09:20,0.4265735,,,,
13,orange,Ferris,10.707,,,2017-10-06,2017-09-26,5,Haw,6262,18:04:54,0.2067454,9.968,,10:10:42,7.98E-02,,,,
14,orange,Ferris,7.164,,,2017-10-06,2017-09-26,5,Haw,6262,18:06:24,1.318053,6.588,,10:11:56,0.9820501,,,,
15,orange,Ferris,8.845,,,2017-10-06,2017-09-26,5,Haw,6262,18:08:14,0.2420943,8.367,,10:13:24,0.140967,,,,
16,orange,Ferris,7.648,,,2017-10-06,2017-09-26,5,Haw,6262,18:09:45,0.2740041,7.205,,10:14:44,0.177351,,,,
17,orange,Ferris,12.237,,,2017-10-06,2017-09-26,5,Haw,6262,18:11:46,0.2468402,11.515,,10:16:11,9.21E-02,,,,
