read_day,trik_ID,bins,counts,light_status,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_entry_LD_time,trik_cohort,day,time
3,18,13:00,3,1,5w69,9/26/17,32,A7,fly,16:08,1,7,12.75
3,18,13:15,11,1,5w69,9/26/17,32,A7,fly,16:08,1,7,13
3,18,13:30,7,1,5w69,9/26/17,32,A7,fly,16:08,1,7,13.25
3,18,13:45,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,13.5
3,18,14:00,1,1,5w69,9/26/17,32,A7,fly,16:08,1,7,13.75
3,18,14:15,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,14
3,18,14:30,16,1,5w69,9/26/17,32,A7,fly,16:08,1,7,14.25
3,18,14:45,20,1,5w69,9/26/17,32,A7,fly,16:08,1,7,14.5
3,18,15:00,19,1,5w69,9/26/17,32,A7,fly,16:08,1,7,14.75
3,18,15:15,9,1,5w69,9/26/17,32,A7,fly,16:08,1,7,15
3,18,15:30,8,1,5w69,9/26/17,32,A7,fly,16:08,1,7,15.25
3,18,15:45,11,1,5w69,9/26/17,32,A7,fly,16:08,1,7,15.5
3,18,16:00,1,1,5w69,9/26/17,32,A7,fly,16:08,1,7,15.75
3,18,16:15,12,1,5w69,9/26/17,32,A7,fly,16:08,1,7,16
3,18,16:30,0,1,5w69,9/26/17,32,A7,fly,16:08,1,7,16.25
3,18,16:45,12,1,5w69,9/26/17,32,A7,fly,16:08,1,7,16.5
3,18,17:00,13,1,5w69,9/26/17,32,A7,fly,16:08,1,7,16.75
3,18,17:15,2,1,5w69,9/26/17,32,A7,fly,16:08,1,7,17
3,18,17:30,7,1,5w69,9/26/17,32,A7,fly,16:08,1,7,17.25
3,18,17:45,16,1,5w69,9/26/17,32,A7,fly,16:08,1,7,17.5
3,18,18:00,22,1,5w69,9/26/17,32,A7,fly,16:08,1,7,17.75
3,18,18:15,17,1,5w69,9/26/17,32,A7,fly,16:08,1,7,18
3,18,18:30,18,1,5w69,9/26/17,32,A7,fly,16:08,1,7,18.25
3,18,18:45,10,1,5w69,9/26/17,32,A7,fly,16:08,1,7,18.5
3,18,19:00,9,1,5w69,9/26/17,32,A7,fly,16:08,1,7,18.75
3,18,19:15,36,1,5w69,9/26/17,32,A7,fly,16:08,1,7,19
3,18,19:30,12,1,5w69,9/26/17,32,A7,fly,16:08,1,7,19.25
3,18,19:45,2,1,5w69,9/26/17,32,A7,fly,16:08,1,7,19.5
3,18,20:00,19,0.933333333,5w69,9/26/17,32,A7,fly,16:08,1,7,19.75
3,18,20:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,20
3,18,20:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,20.25
3,18,20:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,20.5
3,18,21:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,20.75
3,18,21:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,21
3,18,21:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,21.25
3,18,21:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,21.5
3,18,22:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,21.75
3,18,22:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,22
3,18,22:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,22.25
3,18,22:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,22.5
3,18,23:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,22.75
3,18,23:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,23
3,18,23:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,23.25
3,18,23:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,23.5
3,18,24:00:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,23.75
3,18,NA,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,24
4,18,0:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,0
4,18,0:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,0.25
4,18,0:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,0.5
4,18,1:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,0.75
4,18,1:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,1
4,18,1:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,1.25
4,18,1:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,1.5
4,18,2:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,1.75
4,18,2:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,2
4,18,2:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,2.25
4,18,2:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,2.5
4,18,3:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,2.75
4,18,3:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,3
4,18,3:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,3.25
4,18,3:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,3.5
4,18,4:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,8,3.75
